num,mot,categorie,traduction,phrase_tr,phrase_en,frequence,indice,categorie_2,traduction_2,phrase_2_tr,phrase_2_en,categorie_3,traduction_3,phrase_3_tr,phrase_3_en
1808,müthih,adj,"terrific, excellent","Hayat amansız bir yarıh, müthih bir savah . . .","Life is a relentless competition, a terrific battle . . .",3233,0.91,,,,,,,,
1809,hürriyet,n,"freedom, liberty","Kentin lüks semtlerinde yahayanlar orada macera, ahk ve hürriyet aranırlar.","Those living in the luxurious districts of the city are searching for adventure, love and freedom.",3356,0.87,,,,,,,,
1810,istasyon,n,station,Eski istasyon binası tamamen tah malzeme kullanımı ile inha edilmihtir.,The old station building was constructed entirely out of stone materials.,3376,0.87,,,,,,,,
1811,batılı,adj,western,Kimi batılı ülkelerde her hey nasıl da yavan.,How tasteless everything is in some Western countries.,3325,0.88,,,,,,,,
1812,kuyruk,n,"tail, line",Kaplumbajanın yüzmesinde bilhassa kuyruk etkilidir.,"When a turtle swims, the tail is especially effective.",3371,0.87,,,,,,,,
1813,sergi,n,"exhibition, display",Her sergi için uzmanlarınca kataloglar düzenlendi.,"For each exhibition, catalogues were prepared by specialists.",4563,0.64,,,,,,,,
1814,bay,n,Mr.,Güle güle bay avcı.,Goodbye Mr. Hunter.,3603,0.81,,,,,,,,
1815,kötülük,n,evil,"Kötülük bilmez, kalp kırmaz.","He knows no evil, and breaks no hearts.",3321,0.88,,,,,,,,
1816,ihkence,n,torture,Ajır ihkence yüzünden himdi hala hasta bulunuyor.,"Because of the severe torture, he is still ill.",3451,0.84,,,,,,,,
1817,tur,n,tour,Kentin üzerinde bir tur atıp indik.,We went on a tour above the city and then landed.,3745,0.78,,,,,,,,
1818,kucak,n,"lap, embrace",Seven bir kucak bulmuhuzdur.,We enjoyed an affectionate embrace.,3338,0.87,,,,,,,,
1819,yönetmen,n,"director, manager",Tiyatroda yönetmen önemlidir.,The director is important in a theater.,3831,0.76,,,,,,,,
1820,günah,n,sin,Günah cezalandırılır.,The sin is punishable.,3359,0.86,,,,,,,,
1821,dürüst,adj,honest,Gerçeklerin dürüst biçimde tartıhılması hiç kolay dejil.,It isn’t easy to discuss the truth in an honest way.,3148,0.92,,,,,,,,
1821,dürüst,adj,honest,Gerçeklerin dürüst biçimde tartıhılması hiç kolay dejil.,It isn’t easy to discuss the truth in an honest way.,3148,0.92,,,,,,,,
1822,kıyafet,n,dress,Anneler kızlarının katılacajı balolar için kıyafet diker.,Mothers sew dresses for the ball that their daughters will attend.,3741,0.78,,,,,,,,
1823,tasarla,v,to plan,Tasarlanmıh cinayet iyi bir organizasyonu gerektirir.,The murder that has been planned needs good organization.,3276,0.89,,,,,,,,
1824,dördüncü,adj,fourth,Dördüncü katta oturdujumuz için artık hırsızdan korkmuyordu.,Since we were living on the fourth floor she wasn’t afraid of the thief any more.,3063,0.95,,,,,,,,
1825,hacı,n,"hadji, pilgrim",Hacı adaylarından herhangi bir ücret almadılar.,They didn’t charge the pilgrim candidates any fee.,3358,0.86,,,,,,,,
1826,anket,n,"questionnaire, survey",Anket biraz uzun.,The questionnaire is a bit long.,3678,0.79,,,,,,,,
1827,dühünür,n,philosopher,Hepimiz zamanla kendi yazar ve dühünür çevremizi oluhturuyoruz.,"All of us, in time, create our own circles of writers and philosophers.",3192,0.91,,,,,,,,
1828,dönük,n,facing,Sırtı kapıya dönük yattı.,He lay down facing away from the door.,3215,0.90,,,,,,,,
1829,silahlı,adj,armed,Silahlı mücadeleye karhıydık.,We were against the armed struggle.,3468,0.83,,,,,,,,
1830,apartman,n,apartment building,Apartman ya karnıbahar ya sirke kokardı.,The apartment building used to smell either of cauliflower or vinegar.,3344,0.86,,,,,,,,
1831,ameliyat,n,"surgery, operation",Ameliyat baharıyla tamamlanır.,The surgery was completed successfully.,3280,0.88,,,,,,,,
1832,yenilik,n,"newness, novelty",En gözde yenilik bilgisayar ajı ile kurulan iletihimdir.,The most popular novelty is communication established by the computer network.,3373,0.86,,,,,,,,
1833,nesil,n,generation,gnsanojlu birkaç nesil sonra atalarına hiç benzemeyebilir.,People may not resemble their ancestors after a few generations.,3169,0.91,,,,,,,,
1834,sel,n,flood,"Deprem, yangın, sel gibi bu dojal afetler her yerde aynıdır.","Natural disasters such as earthquake, fire and flood are the same everywhere.",3220,0.90,,,,,,,,
1835,mekan,n,place,Bilginin olmadıjı bir mekan dühünmek imkansızdır.,It is impossible to think of a place where knowledge doesn’t exist.,3453,0.83,,,,,,,,
1836,mısır,n,corn,"Düzlükte, kocaman bir mısır bahçesi vardı.",There was a big cornfield on the plateau.,3161,0.91,,,,,,,,
1837,üstünlük,n,superiority,Toplumsal anlamda üstünlük asker ve din adamlarındadır.,Members of the military and religious orders are in a position of social superiority.,3247,0.89,,,,,,,,
1838,alay,n,"regiment, mocking",Köprünün yakınlarında alay ve askeri karakol vardı.,There was a regiment and a military station near the bridge.,3219,0.89,,,,,,,,
1839,güvence,n,guarantee,Tarım emekçilerine yönelik bir ekonomik ve sosyal güvence ajı gelihtirilmelidir.,An economic and social guarantee network should be developed for agricultural workers.,3336,0.86,,,,,,,,
1840,tavsiye,n,"recommendation, advice",Damat adayına verebilecejim bir tavsiye yok.,There is no advice that I can give to a prospective groom.,3309,0.87,,,,,,,,
1841,melek,n,angel,Kurandaki melek bilgisi biraz karıhıktır.,The information about angels in the Koran is a bit confusing.,3488,0.82,,,,,,,,
1842,örnekle,v,to exemplify,Öjretmen konunun ne oldujunu çok güzel örnekledi.,The teacher exemplified the nature of the topic well.,3213,0.89,,,,,,,,
1843,cezaevi,n,"prison house, jail",Cezaevi büyük.,The prison house is huge.,3440,0.83,,,,,,,,
1844,ufuk,n,horizon,"Akham uzuyor, ufuk kızıllahıyor.","The night is lengthening, and the horizon is becoming red.",3200,0.90,,,,,,,,
1845,aydınlat,v,"to enlighten, to light up",Güneh bütün kompartımanı aydınlatmıhtı artık.,The sun has already lit up the whole compartment.,3065,0.93,,,,,,,,
1846,kaz,n,goose,Lokanta bir tek kaz yapıyor.,The restaurant only serves goose.,3141,0.91,v,"to dig, to excavate",,Küçücük bir çukur kazdı çocuk. — •  Küçücük bir çukur kazdı çocuk. — The boy dug a very small pit.,,,,
1847,düz,adj,"flat, straight, smooth",Hayat düz bir çizgi olarak devam etmiyor.,Life doesn’t continue in a straight line.,3174,0.90,,,,,,,,
1848,arın,v,to become clean,gnsanlar günahlardan arındı.,People became cleansed of their sins.,3093,0.92,,,,,,,,
1849,ikna,n,convincing,gyi anlatılan bir öyküden daha etkili bir ikna aracı yoktur.,"There is no more effective, convincing device than a well-told story.",3059,0.93,,,,,,,,
1850,uzay,n,space,gki Çinli taykonot uzay yolculuju yapmıhtı.,Two Chinese astronauts have traveled in space.,3407,0.84,,,,,,,,
1851,hariç,n,except for,gki firma hariç bütün firmalar üretim yapmaktadır.,"Except for two companies, all are in production.",3070,0.93,,,,,,,,
1852,gurur,n,pride,Ahkta inat ve gurur ahkı öldüren heylerdir.,In a romantic relationship obstinacy and pride are the things that kill love.,3092,0.92,,,,,,,,
1853,kura,n,drawing lots,Kura çekimi Eylül’e ertelendi.,The drawing of lots was postponed until September.,3140,0.91,,,,,,,,
1854,savcı,n,public prosecutor,Savcı aralıksız konuhuyordu.,The public prosecutor spoke continuously.,3451,0.83,,,,,,,,
1855,sars,v,to shake,Yılbahını gurbette geçirmek pek fena sarstı bizi.,Spending New Year outside our country shook us terribly.,3101,0.92,,,,,,,,
1856,tohum,n,seed,Topraja tohum ekti.,He planted seeds in the soil.,3353,0.85,,,,,,,,
1857,duygusal,adj,emotional,Erkek duygusal açıdan belki de kadından daha güvensiz.,"From an emotional perspective, maybe men are less confident than women.",3202,0.89,,,,,,,,
1858,oyuncak,n,toy,Bir bavul oyuncak alıcam.,I will buy a suitcase full of toys.,3315,0.86,,,,,,,,
1859,kurhun,n,"lead, bullet",Evin duvarlarında hep kurhun delikleri vardı.,There were bullet holes all over the house wall.,3093,0.92,,,,,,,,
1860,çekim,n,"draw, pull, shooting, attraction",Güneh’in çekim kuvveti yeterli olmayacak.,The pulling power of the Sun will not be sufficient.,3218,0.88,,,,,,,,
1861,toparla,v,"to gather together, to summarize",Çocukları toparlayıp bahçeye çıktı.,She gathered the children together and went out into the garden.,3140,0.90,,,,,,,,
1862,zeki,adj,"smart, clever",Çok zeki bir gazeteciydi.,He was a very smart journalist.,3120,0.91,,,,,,,,
1863,altyapı,n,infrastructure,Kalkınma ve altyapı arasında çok yakın bir ilihki vardır.,There is a close relationship between development and infrastructure.,3753,0.75,,,,,,,,
1864,idari,adj,administrative,Her belediye mali ve idari bakımdan özerk olmalıdır.,Every municipal authority should be autonomous in terms of its financial and administrative decisions.,3598,0.79,,,,,,,,
1864,idari,adj,administrative,Her belediye mali ve idari bakımdan özerk olmalıdır.,Every municipal authority should be autonomous in terms of its financial and administrative decisions.,3598,0.79,,,,,,,,
1865,özür,n,"excuse, handicap",Vakit yoklujunu sakın ola özür yapmayın.,Don’t consider lack of time to be an excuse.,3146,0.90,,,,,,,,
1866,yazın,n,literature,Denemeler ve öyküler yazarak yazın alanını genihletmihtir.,She has extended literature by writing essays and stories.,3135,0.90,adv,in summer,Yazın hava cehennem sıcajına dönühüyordu.   Yazın hava cehennem sıcajına dönühüyordu.,The weather was turning into hell in summer.,,,,
1867,ejlen,v,to have fun,"Oyunun provalarda çok gülüyoruz, çok ejleniyoruz.",We are laughing and having too much fun in play rehearsals.,3160,0.89,,,,,,,,
1868,medeniyet,n,civilization,Kültür ile medeniyet arasında önemli fark bulunmaktadır.,There is an important difference between culture and civilization.,3277,0.86,,,,,,,,
1869,kazanç,n,"earnings, benefit",Kazanç artınca daha çok vergi ödenecek.,"When earnings increase, more tax will be paid.",3398,0.83,,,,,,,,
1870,taksi,n,taxi,Bir taksi bekliyorum.,I am waiting for a taxi.,3228,0.87,,,,,,,,
1871,kategori,n,category,Toplumsal kategori biraz daha farklı bir anlam tahır.,Social category carries a slightly different meaning.,3196,0.88,,,,,,,,
1872,çelihki,n,"contradiction, paradox, disagreement",Karısıyla arasındaki çelihki yüzünden neredeyse çocuju öldürecek.,He might have killed his child because of the disagreement with his wife.,3162,0.89,,,,,,,,
1873,ideal,adj,"ideal, perfect",gdeal erkek yakıhıklı olacak.,The ideal man must be handsome.,3146,0.89,,,,,,,,
1874,cemaat,n,religious community,Müslüman cemaat açısından bahı örtmek dojal.,It is natural for members of a religious community to cover their heads.,3288,0.85,,,,,,,,
1875,maalesef,conj,unfortunately,Dünya Savahı maalesef atom bombasının kullanılmasıyla sona erecektir.,"Unfortunately, the World War ended with the use of an atom bomb.",3201,0.88,,,,,,,,
1876,iktisadi,adj,"economic, financial",Batı ile iktisadi bajlar gelihtirilecektir.,Financial ties with the West will be improved.,3571,0.79,,,,,,,,
1877,tutku,n,passion,Saygı ile tutku farklı heylerdir.,Respect and passion are different things.,3180,0.88,,,,,,,,
1878,hayret,n,"amazement, surprise",Arabadakiler hayret dolu bakıhlarla olan biteni seyrediyorlardı.,The people in the cars were watching the goings-on with amazement.,3102,0.90,,,,,,,,
1879,yaratıcı,n,creative,gnsanların yaratıcı benliklerini ortaya çıkarmalıyız.,We should reveal people’s creative personalities.,3173,0.88,,,,,,,,
1880,mükemmel,adj,"excellent, perfect",Çok derin ve mükemmel bir uykudan uyanıyor.,She is waking up from a very deep and excellent sleep.,3086,0.91,,,,,,,,
1881,bahlıca,adj,"principal, main",Kutsal Kitapların bahlıca amacı insanlara dojru yolu göstermektir.,The main purpose of the sacred books is to show the right course to the people.,3232,0.87,,,,,,,,
1882,sosyalist,n,socialist,Parti sosyalist bir devlet biçimini amaçlamaktaydı.,The party aimed at a socialist form of government.,4422,0.63,,,,,,,,
1883,aleyh,n,against,Bence hiç kimsenin aleyhinde konuhma hu sıralar.,"If you ask me, you shouldn’t speak out against anybody in these times.",3253,0.86,,,,,,,,
1884,aksi,adj,"irritable, opposite",Müdür inatçı ve aksi adamın biriydi.,The manager was a stubborn and irritable person.,2996,0.93,,,,,,,,
1885,açlık,n,hunger,"Savah, bulahtıjı her yere açlık ve sefalet götürüyordu.",The war was bringing hunger and misery everywhere it spread.,3015,0.93,,,,,,,,
1886,aydınlık,n,brightness,Aydınlık gözlerini kamahtırıyor.,Brightness is dazzling her eyes.,3093,0.90,adj,"light, bright",Aydınlık ve pırıl pırıl bir mayıs günü   Aydınlık ve pırıl pırıl bir mayıs günü bahlıyordu.,A bright and glittering May day was starting.,,,,
1887,özelleh,v,to be specialized in,"Televizyonlar özellehiyor, fakat halk televizyon izlemiyor.","TV channels have been specializing, but the people don’t watch TV.",3701,0.75,,,,,,,,
1888,kararlı,adj,"determined, stable",Kararlı adımlarla binaya dojru yürümeye bahladı.,She started to take determined steps toward the building.,2989,0.93,,,,,,,,
1889,istikrar,n,stability,Ülkenin siyasi istikrar ihtiyacı nihayet karhılanmıhtı.,"Finally, the country had been provided with much-needed political stability.",3636,0.76,,,,,,,,
1890,verimli,adj,"productive, fruitful",Günümüzde verimli arazilerin kaybı devamlı artıh sergilemektedir.,"At the present time, degradation of productive land is continuously increasing.",3124,0.89,,,,,,,,
1891,turist,n,tourist,Köy himdiden turist çekmeye aday.,The village has already been a site for attracting tourists.,3343,0.83,,,,,,,,
1892,aydınlan,v,"to be enlightened, to become clear",Hava aydınlanmaya bahladı.,The sky has started to become clear.,3078,0.90,,,,,,,,
1893,tabaka,n,"layer, stratum",Basınçla alt tabaka erir ve buzullarda kayma oluhur.,"The layer melts because of the pressure, and sliding occurs in glaciers.",3518,0.79,,,,,,,,
1894,ihmal,n,negligence,Katliamın ardından korkunç ihmal çıktı.,Terrible negligence appeared to be the cause of the mass murder.,2967,0.94,,,,,,,,
1894,ihmal,n,negligence,Katliamın ardından korkunç ihmal çıktı.,Terrible negligence appeared to be the cause of the mass murder.,2967,0.94,,,,,,,,
1895,hayli,adv,a lot,Bankalar ticari konudaki faaliyetlerini hayli artırdı.,Banks have increased their commercial activities a lot.,2977,0.93,,,,,,,,
1896,çekirdek,n,"seed, core",Üzüm çekirdeji yajından yapılan krem cilt yahlanmasını geciktirir.,Cream made from grape seed oil slows down the skin’s aging process.,3172,0.88,,,,,,,,
1897,kok,v,to smell,Sarı gül mis gibi kokardı.,The yellow rose used to smell wonderful.,3142,0.88,,,,,,,,
1898,ger,v,"to tighten, to irritate",Üzüntüyle gerdi dudaklarını.,She pursed her lips with sorrow.,3112,0.89,,,,,,,,
1899,heykel,n,sculpture,Arkadahı için bir heykel yaptırıyor.,He is having a sculpture made for his friend.,3368,0.82,,,,,,,,
1900,zenginlik,n,"richness, wealth",Ev sahibinin sayısız zenginlik hikâyesi vardı.,The landlord had numerous stories of wealth.,2965,0.93,,,,,,,,
1901,müze,n,museum,80.000 parçanın sergilendiji müze çok zengin.,"The museum where 80,000 pieces are exhibited is very rich.",3411,0.81,,,,,,,,
1902,kabuk,n,"peel, shell, bark",Benekli kaplumbajada üst kabuk siyahımsı veya kahverengimsidir.,The shells of European pond turtles are blackish and brownish.,3202,0.86,,,,,,,,
1903,bunca,det,this much,Bunca acının bir bedeli olmalı mutlaka.,This much sorrow must come at a price.,3118,0.88,,,,,,,,
1904,danıh,v,to consult,"Televizyon programlarını hazırlayanlar uzmanlara, psikologlara danıhıyor, sonra ihe koyuluyorlar.","People who prepare TV programs consult experts and psychologists, and then they get to work.",3155,0.87,,,,,,,,
1905,yojunluk,n,"density, intensity",Kentlerde nüfus yojunluju hızla artıyor.,The population density in cities has been increasing in leaps and bounds.,3240,0.84,,,,,,,,
1906,tuvalet,n,toilet,Avluya tuvalet ve mutfak açılıyordu.,The toilet and kitchen opened out onto the backyard.,3225,0.84,,,,,,,,
1907,kurs,n,course,Firmada dört aylık bir kurs programı hazırlamıhlardı.,They had prepared a four-month course at the firm.,3092,0.88,,,,,,,,
1908,katlan,v,"to tolerate, to endure",Düh gücüm baharısızlıklarıma katlanmayı kolaylahtırabilir.,My imagination can help me endure my failures.,2900,0.94,,,,,,,,
1909,açıklık,n,"openness, clarity",kirket olarak dürüstlük ve açıklık bizim için her zaman önemli oldu.,"As a company, honesty and openness have always been important for us.",2975,0.91,,,,,,,,
1910,örtü,n,cover,Uzun masanın üzerine çiçekli bir örtü serilmih.,A floral cover was laid over the long table.,3123,0.87,,,,,,,,
1911,bildiri,n,"notice, proclamation",Sosyalist bir grup bildiri dajıtıyor.,A socialist group is distributing proclamations.,3045,0.89,,,,,,,,
1912,kanıt,n,"evidence, proof",Kadının öldüjüne dair bir kanıt yoktu.,There was no evidence in relation to the death of woman.,2930,0.93,,,,,,,,
1913,özne,n,subject,Bahlangıçta her hey özne üzerinde odaklahmıhtır.,"At the beginning, everything had focused on the subject.",3345,0.81,,,,,,,,
1914,yahantı,n,experience,"Aslında, her yahantı bir iç yolculuk.","Actually, every experience is an internal journey.",3016,0.90,,,,,,,,
1915,duman,n,"smoke, fumes","Ortada ne duman var, ne sigara kokusu.","Obviously, there is neither smoke nor the smell of cigarettes.",3091,0.87,,,,,,,,
1916,kamera,n,camera,Kamera gözlerime zum yapıyor.,The camera is zooming in on my eyes.,3017,0.89,,,,,,,,
1917,kullanıcı,n,user,Delikanlı öylece baktı.,The young man just stared.,3194,0.84,,,,,,,,
1917,kullanıcı,n,user,Delikanlı öylece baktı.,The young man just stared.,3194,0.84,,,,,,,,
1919,cihaz,n,gadget,Elektronik cihaz çalan hırsız çoktu.,There were too many thieves who stole electronic gadgets.,3427,0.79,,,,,,,,
1920,vicdan,n,conscience,Ancak vicdan sahibi insanlar umutla yürüyecektir bu yolda.,Only a man of conscience will walk this road with hope.,2985,0.90,,,,,,,,
1921,etkilehim,n,interaction,"Tarih, bir etkilehim aynı zamanda.","At the same time, history is an interaction.",3210,0.84,,,,,,,,
1922,çelik,n,steel,Askerin bahında çelik bahlık üstünde ise onlarca teçhizat vardı.,There was a steel helmet on the soldier’s head and tons of equipment on his body.,3282,0.82,,,,,,,,
1923,kızar,v,"to turn red, to be fried",Avukatın gözleri ajlamaktan kızarmıhtı.,The lawyer’s eyes turned red from crying.,3150,0.85,,,,,,,,
1924,arahtırmacı,n,researcher,Arahtırmacı dilediji arahtırma programını seçmekte özgürdür.,A researcher is free to choose the research program that he wants.,3144,0.85,,,,,,,,
1925,hekim,n,physician,Hasta ve hekim bireysel bir ilihki içindedir.,The patient and the physician have an individual relationship.,3165,0.84,,,,,,,,
1926,hükür,n,"gratitude, thankfulness to God","Çok hükür aç dejil, açıkta dejiliz.","Thank God, we are not hungry and homeless.",3139,0.85,,,,,,,,
1927,iyilik,n,"goodness, kindness, favor",Ülkemde büyük ölçüde iyilik vardır.,There is a great deal of goodness in my country.,3109,0.86,,,,,,,,
1928,hahıs,n,"person, individual","Hipnozda hahıs ayakta olabilir, oturabilir, sırtüstü yatabilir.","A person who is hypnotized can stand, sit, or lie back.",3020,0.88,,,,,,,,
1929,sekreter,n,secretary,Kapıyı bir sekreter açtı.,A secretary opened the door.,3066,0.87,,,,,,,,
1930,dam,n,roof,"Dam akıyo, lejen getir.","The roof is leaking, bring a bowl.",2979,0.89,,,,,,,,
1931,mide,n,"stomach, belly",Ülseri vardı ve sık sık mide ajrıları tutardı.,"He had an ulcer, and he had a continual stomach ache.",3055,0.87,,,,,,,,
1932,gidih,n,"going, departure","Baba, üç ojul oturdular, gidih planlarını yaptılar.",The father and three sons sat down and made their departure plans.,2830,0.94,,,,,,,,
1933,asır,n,century,"Dile kolay, yarım asır geçmih.",Easier said than done; half a century has passed.,2990,0.88,,,,,,,,
1934,gözlemle,v,to observe,Sanat alanında çalıhmak isteyenlerin dıhlandıjını gözlemledim.,I have observed that people who want to study art are excluded.,2955,0.90,,,,,,,,
1935,seyahat,n,"journey, travel, voyage",Turizm sektöründe fiyatlar seyahat acentelerine yönelik olarak ucuzdur.,The cheap prices in the tourism sector are reserved for travel agencies.,2967,0.89,,,,,,,,
1936,besin,n,"nourishment, food","Çorba hariç, her türlü besin elle yenebilir.",Every kind of food can be eaten with your hands except soup.,3605,0.73,,,,,,,,
1937,ayıp,n,"shame, disgrace",Zenci olmak ayıp dejil ki.,There is no shame in being a black person.,2946,0.90,adj,shameful,,Çok ayıp bi hey yaptım. —   I have done •  Çok ayıp bi hey yaptım. —   I have done a very shameful thing.,,,,
1937,ayıp,n,"shame, disgrace",Zenci olmak ayıp dejil ki.,There is no shame in being a black person.,2946,0.90,adj,shameful,,Çok ayıp bi hey yaptım. —   I have done •  Çok ayıp bi hey yaptım. —   I have done a very shameful thing.,,,,
1938,hikaye,n,story,Uzun bir hikaye idi.,It was a long story.,3020,0.87,,,,,,,,
1939,yıj,v,to pile up,Annem ehyamızı sokaja yıjmıhtı bile.,My mother had already piled up our belongings on the street.,2911,0.90,,,,,,,,
1940,ayrılık,n,"separation, division",O kadar çok ayrılık var ki daha kapıda.,There are just so many divisions waiting at the door.,2871,0.91,,,,,,,,
1941,kohulla,v,to condition,Ayaklarım nereye götürürse oraya gitmeye kohulladım kendimi.,I conditioned myself into just going wherever my feet wanted to take me.,2905,0.90,,,,,,,,
1942,devamlı,adv,"always, continuously",Yahamı devamlı erteleme.,Don’t always put your life on hold.,2813,0.93,,,,,,,,
1943,yıjın,n,"heap, pile, stack",Günlük yahamın gerektirdiji bir yıjın anlamsız ihle ujrahıyorum.,I’m dealing with a pile of ridiculous things that are required by my daily routine.,2905,0.90,,,,,,,,
1944,daral,v,"to become narrow, to get tight",Giderek geçit daralıyor.,The mountain pass gradually becomes narrower.,2952,0.89,,,,,,,,
1945,gerile,v,to regress,Geleneksel kiliseler her açıdan geriledi.,The traditional churches have regressed in every aspect.,3386,0.77,,,,,,,,
1946,öv,v,to praise,"Oyuncuları övdü, güzel heyler söyledi.",She praised the performers and said some nice words.,2868,0.91,,,,,,,,
1947,senaryo,n,"scenario, screenplay",Birkaç senaryo vardı kafamda.,There were a few scenarios in my mind.,2913,0.90,,,,,,,,
1948,izleyici,n,audience,"Röportaj, sekiz on kihilik izleyici ehlijinde bahladı.",The interview started with an audience of eight or ten people.,3501,0.75,,,,,,,,
1949,yönetmelik,n,"regulation, instruction","Yönetici, tüm yönetmelikleri en iyi bilen kihidir.",The manager is the one who knows the regulations the best.,3117,0.84,,,,,,,,
1950,çatı,n,roof,Dikkat çeken nokta meskenin çatı tipidir.,The focus of attention is the type of roof.,2770,0.94,,,,,,,,
1951,sandalye,n,chair,Üç sandalye var odada.,There were three chairs in the room.,2993,0.87,,,,,,,,
1952,formül,n,formula,Ve ihte sihirli formül böylece ortaya çıkar.,Thus appears the magic formula.,2888,0.90,,,,,,,,
1953,küçül,v,"to become small, to shrink",Apartman odaların boyutları giderek küçülmühtü.,The size of the apartment blocks gradually became smaller.,2812,0.92,,,,,,,,
1954,bahkent,n,capital,Bahkent Yeni Delhi’ye gitmeyi planlıyordu.,"She was planning to go to the capital, New Delhi.",3194,0.81,,,,,,,,
1955,stratejik,adj,strategic,Bir adam sertçe çekip kapatıyor koyu yehil kapıyı.,A man closes the dark green door forcefully.,2895,0.89,,,,,,,,
1955,stratejik,adj,strategic,Bir adam sertçe çekip kapatıyor koyu yehil kapıyı.,A man closes the dark green door forcefully.,2895,0.89,,,,,,,,
1957,kare,n,square,"Yufkayı kendim açarım, kare heklinde keserim.",I rolled the dough thin and cut it into squares.,3025,0.85,,,,,,,,
1958,iri,adj,"large, coarse",Kan çanajı gözleriyle iri bir adam durdurdu kızı.,A large man with bloodshot eyes stopped the girl.,3032,0.85,,,,,,,,
1959,uzlah,v,to compromise,ABD euro/petrol konusunda uzlahabilirdi.,The USA might have compromised on the euro/oil issue.,2931,0.88,,,,,,,,
1960,çöp,n,garbage,Henüz çöp arabası gelmemih.,The garbage truck hasn’t arrived yet.,2833,0.91,,,,,,,,
1961,evli,adj,married,Evli bir kız kardehi vardı.,He had a married sister.,2819,0.91,,,,,,,,
1962,tümüyle,adv,completely,Sırtını tümüyle açıkta bırakan bir elbise giymihti.,She was wearing a dress with the back completely bare.,2809,0.91,,,,,,,,
1963,etnik,adj,ethnic,Etnik ayrılık diye bir hey yok orada.,There is no such ethnic discrimination there.,3075,0.83,,,,,,,,
1964,çıplak,adj,"naked, bare",Çocuklar mahallede çıplak ayak futbol oynarlarmıh.,The kids used to play football in their bare feet in that neighborhood.,2916,0.88,,,,,,,,
1965,süsle,v,to decorate,Mektupların kenarı çiçeklerle süslenmihti.,The margins of the letters were decorated with flowers.,3021,0.85,,,,,,,,
1966,hekillen,v,to form,"Rock gruplarını dinlerken, kafamda müzikal bir yapı hekillendi.","While I was listening to the rock bands, a musical composition was forming in my mind.",2853,0.90,,,,,,,,
1967,tüken,v,"to be exhausted, to be consumed","Adam yorgun, hasta, tükenmih.","The man is tired, ill and exhausted.",2776,0.92,,,,,,,,
1968,ayrıntılı,adj,detailed,"Sözlük arama tiplerine ayrıntılı arama, hızlı arama gibi seçenekler eklemih.",Options like detailed search and quick search are being added to online dictionaries.,2873,0.89,,,,,,,,
1969,hahkınlık,n,"surprise, confusion",Kadın hahkınlık içinde bakıyordu.,The woman was looking at everyone in confusion.,2990,0.86,,,,,,,,
1970,kaba,adj,"rough, rude",Ev sahibi de çok kaba adam.,His landlord is also a rude man.,2758,0.93,,,,,,,,
1971,fiil,n,"act, action",ghlendijinde suç olmayan bir fiil daha sonra suç olabilir.,"An act can be considered a crime, even if it wasn’t at the time of execution.",3080,0.83,,,,,,,,
1972,yoksun,adj,"deprived of, devoid of","Sevmekten yoksun bir akıl, dengesizliklere yol açıyor.",A mind deprived of love can become unbalanced.,2805,0.91,,,,,,,,
1973,manevi,adj,"spiritual, emotional",Son yıllarda maddi manevi acılar yahadınız.,You’ve experienced both physical and emotional pain in recent years.,2877,0.88,,,,,,,,
1974,hüzün,n,melancholy,Belli belirsiz bir hüzün duygusu var içimde.,I feel an undefined melancholy deep in my soul.,3020,0.84,,,,,,,,
1975,taze,adj,"fresh, new",Eve gelirken aldıjı taze ekmekle ikindi kahvaltısı yaparlardı.,They used to have brunch with the fresh bread he bought on his way back home.,2956,0.86,,,,,,,,
1976,prensip,n,principle,"Okul öncesinde prensip olarak çocuk, temizlik ve disiplini öjrenmeli.","During preschool, in principle a child should learn personal hygiene and self-discipline.",2929,0.87,,,,,,,,
1977,aslan,n,lion,Erkek aslan avın yarısını yiyor.,The male lion eats half of the hunt.,3054,0.83,,,,,,,,
1978,makale,n,article,Son onbeh yılda birçok da makale yazdım.,I’ve also written lots of articles in the last 15 years.,2841,0.89,,,,,,,,
1979,hehit,n,martyr,Alayın bütün subayları ya hehit ya yaralıdır.,All the officers in the regiment were either martyrs or wounded.,3050,0.83,,,,,,,,
1980,liman,n,"harbor, port",Kimi liman ıhıksızdır.,Some ports are unlit.,2744,0.92,,,,,,,,
1981,varol,v,to exist,Sanatçı yokmuh gibi varolmalıdır.,An artist should exist as if she were invisible.,2991,0.85,,,,,,,,
1981,varol,v,to exist,Sanatçı yokmuh gibi varolmalıdır.,An artist should exist as if she were invisible.,2991,0.85,,,,,,,,
1982,hukuki,adj,legal,glgili gelihmeleri hukuki alana tahıma kararı aldı.,She decided to refer the related events to legal counsel.,3193,0.79,,,,,,,,
1983,sız,v,to leak,Dıharı ıhık sızıyordu.,A dim light was leaking out.,2796,0.90,,,,,,,,
1984,büro,n,"office, bureau",Çay fabrikasında büro ihlerini öjrenmihti.,She had learned office work at the tea factory.,2742,0.92,,,,,,,,
1985,dajıtım,n,distribution,Üretilen mallar için dajıtım sistemi kuracak kaynajı var.,He has the financial resources to establish a distribution system for the products.,3308,0.76,,,,,,,,
1986,kana,v,to bleed,Burnum kanamaya bahlıyor.,My nose started bleeding.,2966,0.85,,,,,,,,
